############################################################
# MDF 2012 - Modelizacion de Materiales y Procesos.
# Ingeniería en Materiales - Instituto Sabato
#############################################################
#
# Definición de puntos y pesos para cuadraturas de Gauss
n=1
0   2.0

n=2
1/sqrt(3)      1.000
-1/sqrt(3)     1.000


n=3
sqrt(6)         5/9
0.0000          8/9
-sqrt(6)        5/9


n=4
0.861136311594953       0.347854845137454
0.339981043584856       0.652145154862546
-0.339981043584856       0.652145154862546
-0.861136311594953       0.347854845137454

n=5
0.906179845938664        0.236926885056189
0.538469310105683        0.478628670499366
0.00000000000000         0.568888888888889
-0.538469310105683        0.478628670499366 
-0.906179845938664        0.236926885056189

n=6
0.932469514203152        0.171324492379170
0.661209386466265        0.360761573048139
0.238619186083197        0.467913934572691
-0.238619186083197        0.467913934572691
-0.661209386466265        0.360761573048139
-0.932469514203152        0.171324492379170

n=7
0.949107912342759       0.129484966168870
0.741531185599934       0.279705391489277
0.405845151377397       0.381830050505199
0.000000000000000       0.417959183673469
-0.405845151377397       0.381830050505199
-0.741531185599934       0.279705391489277
-0.949107912342759       0.129484966168870
