 h	AvS	eS	AvT	eT	N
   7.5000000000000000        16.839335480276699       1.33542551506538321E-002   16.919527883560200       1.42188664307562416E-002           4
   5.0000000000000000        16.801752256397286       2.23686335245793389E-003   16.850881592934748       4.07375069647596295E-003           6
   3.7500000000000000        16.791103594739376       6.34184739426338828E-004   16.823209842142013       1.64485559250511764E-003           8
   2.5000000000000000        16.785465152722271       3.35912169594567724E-004   16.801819437913991       1.27310047028321481E-003          12
   1.8750000000000000        16.784182462181320       7.64225808341054163E-005   16.793939482296711       4.69214243959079579E-004          16
   1.3636363636363635        16.783677428924658       3.00907389814035710E-005   16.789051919883629       2.91116046123669563E-004          22
   1.0714285714285714        16.783541503399903       8.09873915634463252E-006   16.786923320796493       1.26801025206282734E-004          28
  0.83333333333333337        16.783484987125529       3.36737420247710566E-006   16.785557211527180       8.13859946439273688E-005          36
  0.65217391304347827        16.783463706203349       1.26796962489606779E-006   16.784743017804704       4.85079647399251282E-005          46
  0.51724137931034486        16.783455771687109       4.72758194046495299E-007   16.784264373869856       2.85174210907348976E-005          58
  0.40540540540540543        16.783452480808300       1.96078775349331815E-007   16.783950869729590       1.86788046925934765E-005          74
  0.31914893617021278        16.783451238108029       7.40431901606577030E-008   16.783760790405196       1.13251926530518612E-005          94
  0.25000000000000000        16.783450751497664       2.89934633617578711E-008   16.783641017481887       7.13628962776062747E-006         120
  0.19736842105263158        16.783450570981465       1.07556070522180171E-008   16.783569332351998       4.27114926923179858E-006         152
  0.15625000000000000        16.783450501163884       4.15990627463674861E-009   16.783525053964883       2.63820544091306662E-006         192
  0.12396694214876033        16.783450473848163       1.62753906194957464E-009   16.783497501944630       1.64161374884161489E-006         242
  9.80392156862745084E-002   16.783450462922541       6.50975871779241371E-010   16.783479969035145       1.04465280844545700E-006         306
  7.77202072538860089E-002   16.783450458672498       2.53228254991691586E-010   16.783469090486953       6.48170418963343959E-007         386
  6.17283950617283916E-002   16.783450457001170       9.95819047576525866E-011   16.783462297239684       4.04758395454308908E-007         486
  4.90196078431372542E-002   16.783450456336301       3.96145625975516390E-011   16.783458009628841       2.55466474185984101E-007         612
  3.88601036269430045E-002   16.783450456069684       1.58857054714181977E-011   16.783455289791256       1.62054686500024940E-007         772
  3.08641975308641958E-002   16.783450455965351       6.21639411270471698E-012   16.783453591401482       1.01194296183346450E-007         972
  2.45098039215686271E-002   16.783450455923859       2.47220576982524170E-012   16.783452519467307       6.38685141783221919E-008        1224
  1.94552529182879380E-002   16.783450455907339       9.84310029086282210E-013   16.783451842481320       4.03365168037432344E-008        1542
  1.54479917610710615E-002   16.783450455901626       3.40380758445436696E-013   16.783451416389575       2.53876115482546355E-008        1942
  1.22649223221586272E-002   16.783450455899128       1.48810742031826869E-013   16.783451147658162       1.60116897216067220E-008        2446
  9.74025974025974003E-003   16.783450455896112       1.79715960149422055E-013   16.783450978408403       1.00843240948680940E-008        3080
  7.73594636410520915E-003   16.783450455895427       4.08541581965133988E-014   16.783450871697898       6.35807892767205611E-009        3878
