# time (s) ,  q1,   q2  
6.4000e+01  5.3656e+04  5.3656e+04 
6.4500e+01  5.3104e+04  5.3104e+04 
6.5000e+01  5.2558e+04  5.2558e+04 
6.5500e+01  5.2017e+04  5.2017e+04 
6.6000e+01  5.1482e+04  5.1482e+04 
6.6500e+01  5.0953e+04  5.0953e+04 
6.7000e+01  5.0429e+04  5.0429e+04 
6.7500e+01  4.9910e+04  4.9910e+04 
6.8000e+01  4.9397e+04  4.9397e+04 
6.8500e+01  4.8889e+04  4.8889e+04 
6.9000e+01  4.8386e+04  4.8386e+04 
6.9500e+01  4.7888e+04  4.7888e+04 
7.0000e+01  4.7396e+04  4.7396e+04 
7.0500e+01  4.6908e+04  4.6908e+04 
7.1000e+01  4.6426e+04  4.6426e+04 
7.1500e+01  4.5948e+04  4.5948e+04 
7.2000e+01  4.5476e+04  4.5476e+04 
7.2500e+01  4.5008e+04  4.5008e+04 
7.3000e+01  4.4545e+04  4.4545e+04 
7.3500e+01  4.4087e+04  4.4087e+04 
7.4000e+01  4.3633e+04  4.3633e+04 
7.4500e+01  4.3185e+04  4.3185e+04 
7.5000e+01  4.2740e+04  4.2740e+04 
7.5500e+01  4.2301e+04  4.2301e+04 
7.6000e+01  4.1866e+04  4.1866e+04 
7.6500e+01  4.1435e+04  4.1435e+04 
7.7000e+01  4.1009e+04  4.1009e+04 
7.7500e+01  4.0587e+04  4.0587e+04 
7.8000e+01  4.0170e+04  4.0170e+04 
7.8500e+01  3.9757e+04  3.9757e+04 
7.9000e+01  3.9348e+04  3.9348e+04 
7.9500e+01  3.8943e+04  3.8943e+04 
8.0000e+01  3.8542e+04  3.8542e+04 
8.0500e+01  3.8146e+04  3.8146e+04 
8.1000e+01  3.7754e+04  3.7754e+04 
8.1500e+01  3.7365e+04  3.7365e+04 
8.2000e+01  3.6981e+04  3.6981e+04 
8.2500e+01  3.6601e+04  3.6601e+04 
8.3000e+01  3.6224e+04  3.6224e+04 
8.3500e+01  3.5852e+04  3.5852e+04 
8.4000e+01  3.5483e+04  3.5483e+04 
8.4500e+01  3.5118e+04  3.5118e+04 
8.5000e+01  3.4757e+04  3.4757e+04 
8.5500e+01  3.4399e+04  3.4399e+04 
8.6000e+01  3.4046e+04  3.4046e+04 
8.6500e+01  3.3695e+04  3.3695e+04 
8.7000e+01  3.3349e+04  3.3349e+04 
8.7500e+01  3.3006e+04  3.3006e+04 
8.8000e+01  3.2666e+04  3.2666e+04 
8.8500e+01  3.2330e+04  3.2330e+04 
8.9000e+01  3.1998e+04  3.1998e+04 
8.9500e+01  3.1669e+04  3.1669e+04 
9.0000e+01  3.1343e+04  3.1343e+04 
9.0500e+01  3.1021e+04  3.1021e+04 
9.1000e+01  3.0702e+04  3.0702e+04 
9.1500e+01  3.0386e+04  3.0386e+04 
9.2000e+01  3.0073e+04  3.0073e+04 
9.2500e+01  2.9764e+04  2.9764e+04 
9.3000e+01  2.9458e+04  2.9458e+04 
9.3500e+01  2.9155e+04  2.9155e+04 
9.4000e+01  2.8855e+04  2.8855e+04 
9.4500e+01  2.8558e+04  2.8558e+04 
9.5000e+01  2.8265e+04  2.8265e+04 
9.5500e+01  2.7974e+04  2.7974e+04 
9.6000e+01  2.7686e+04  2.7686e+04 
9.6500e+01  2.7401e+04  2.7401e+04 
9.7000e+01  2.7120e+04  2.7120e+04 
9.7500e+01  2.6841e+04  2.6841e+04 
9.8000e+01  2.6565e+04  2.6565e+04 
9.8500e+01  2.6291e+04  2.6291e+04 
9.9000e+01  2.6021e+04  2.6021e+04 
9.9500e+01  2.5753e+04  2.5753e+04 
1.0000e+02  2.5489e+04  2.5489e+04 
1.0050e+02  2.5226e+04  2.5226e+04 
1.0100e+02  2.4967e+04  2.4967e+04 
1.0150e+02  2.4710e+04  2.4710e+04 
