
 5 Elementos 
 

 
 Elemento 1 
7.0000e+08	-7.0000e+08
-7.0000e+08	7.0000e+08

 
 Elemento 2 
7.0000e+08	-7.0000e+08
-7.0000e+08	7.0000e+08

 
 Elemento 3 
7.0000e+08	-7.0000e+08
-7.0000e+08	7.0000e+08

 
 Elemento 4 
7.0000e+08	-7.0000e+08
-7.0000e+08	7.0000e+08

 
 Elemento 5 
7.0000e+08	-7.0000e+08
-7.0000e+08	7.0000e+08

 Matriz Global 
7.0000e+08	-7.0000e+08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
-7.0000e+08	1.4000e+09	-7.0000e+08	0.0000e+00	0.0000e+00	0.0000e+00
0.0000e+00	-7.0000e+08	1.4000e+09	-7.0000e+08	0.0000e+00	0.0000e+00
0.0000e+00	0.0000e+00	-7.0000e+08	1.4000e+09	-7.0000e+08	0.0000e+00
0.0000e+00	0.0000e+00	0.0000e+00	-7.0000e+08	1.4000e+09	-7.0000e+08
0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	-7.0000e+08	7.0000e+08
