
 2 Elementos 
 

 
 Elemento 1 
2.8000e+08	-2.8000e+08
-2.8000e+08	2.8000e+08

 
 Elemento 2 
2.8000e+08	-2.8000e+08
-2.8000e+08	2.8000e+08

 Matriz Global 
2.8000e+08	-2.8000e+08	0.0000e+00
-2.8000e+08	5.6000e+08	-2.8000e+08
0.0000e+00	-2.8000e+08	2.8000e+08
