    3       3   0.00000000000000E+00
    4       4   0.00000000000000E+00
    6       6   0.00000000000000E+00
    8       8   0.00000000000000E+00
   11      11   0.00000000000000E+00
   14      14   0.00000000000000E+00
   18      18   0.12001000000000E-01
   23      23   0.60004000000000E-01
   29      29   0.21601300000000E+00
   37      37   0.71604500000000E+00
   47      47   0.41922610000000E+01
   60      60   0.11292706000000E+02
   76      76   0.40890555000000E+02
   96      96   0.17198274900000E+03
   96      96   0.62998160000000E+01
   96      96   0.66235370000000E+02
