.819E+02   -0.50362E+01   -0.49638E+01
.826E+02   -0.50342E+01   -0.49658E+01
.833E+02   -0.50323E+01   -0.49677E+01
.840E+02   -0.50305E+01   -0.49695E+01
.847E+02   -0.50288E+01   -0.49712E+01
.854E+02   -0.50272E+01   -0.49728E+01
.861E+02   -0.50257E+01   -0.49743E+01
.868E+02   -0.50242E+01   -0.49758E+01
.875E+02   -0.50229E+01   -0.49771E+01
.882E+02   -0.50216E+01   -0.49784E+01
.889E+02   -0.50204E+01   -0.49796E+01
.896E+02   -0.50193E+01   -0.49807E+01
.903E+02   -0.50182E+01   -0.49818E+01
.910E+02   -0.50172E+01   -0.49828E+01
.917E+02   -0.50162E+01   -0.49838E+01
.924E+02   -0.50153E+01   -0.49847E+01
.931E+02   -0.50145E+01   -0.49855E+01
.938E+02   -0.50137E+01   -0.49863E+01
.945E+02   -0.50129E+01   -0.49871E+01
.952E+02   -0.50122E+01   -0.49878E+01
.959E+02   -0.50115E+01   -0.49885E+01
.966E+02   -0.50109E+01   -0.49891E+01
.973E+02   -0.50103E+01   -0.49897E+01
.980E+02   -0.50097E+01   -0.49903E+01
.987E+02   -0.50092E+01   -0.49908E+01
.994E+02   -0.50086E+01   -0.49914E+01
.100E+03   -0.50082E+01   -0.49918E+01
